Year,Indicator Name,Indicator Code,Value
#date+year,#indicator+name,#indicator+code,
2019,Income share held by second 20%,SI.DST.02ND.20,11.1
2016,Income share held by second 20%,SI.DST.02ND.20,10.8
2012,Income share held by second 20%,SI.DST.02ND.20,11.0
2009,Income share held by second 20%,SI.DST.02ND.20,11.6
2006,Income share held by second 20%,SI.DST.02ND.20,10.7
2002,Income share held by second 20%,SI.DST.02ND.20,10.5
1995,Income share held by second 20%,SI.DST.02ND.20,11.7
1990,Income share held by second 20%,SI.DST.02ND.20,12.5
1985,Income share held by second 20%,SI.DST.02ND.20,12.4
2019,Income share held by third 20%,SI.DST.03RD.20,15.0
2016,Income share held by third 20%,SI.DST.03RD.20,14.6
2012,Income share held by third 20%,SI.DST.03RD.20,14.6
2009,Income share held by third 20%,SI.DST.03RD.20,15.3
2006,Income share held by third 20%,SI.DST.03RD.20,14.4
2002,Income share held by third 20%,SI.DST.03RD.20,14.2
1995,Income share held by third 20%,SI.DST.03RD.20,15.2
1990,Income share held by third 20%,SI.DST.03RD.20,16.0
1985,Income share held by third 20%,SI.DST.03RD.20,16.4
2019,Income share held by fourth 20%,SI.DST.04TH.20,20.8
2016,Income share held by fourth 20%,SI.DST.04TH.20,20.3
2012,Income share held by fourth 20%,SI.DST.04TH.20,20.5
2009,Income share held by fourth 20%,SI.DST.04TH.20,21.0
2006,Income share held by fourth 20%,SI.DST.04TH.20,20.5
2002,Income share held by fourth 20%,SI.DST.04TH.20,20.4
1995,Income share held by fourth 20%,SI.DST.04TH.20,21.1
1990,Income share held by fourth 20%,SI.DST.04TH.20,21.0
1985,Income share held by fourth 20%,SI.DST.04TH.20,21.8
2019,Income share held by highest 20%,SI.DST.05TH.20,45.7
2016,Income share held by highest 20%,SI.DST.05TH.20,47.2
2012,Income share held by highest 20%,SI.DST.05TH.20,46.6
2009,Income share held by highest 20%,SI.DST.05TH.20,44.4
2006,Income share held by highest 20%,SI.DST.05TH.20,47.4
2002,Income share held by highest 20%,SI.DST.05TH.20,48.0
1995,Income share held by highest 20%,SI.DST.05TH.20,44.0
1990,Income share held by highest 20%,SI.DST.05TH.20,41.7
1985,Income share held by highest 20%,SI.DST.05TH.20,41.1
2019,Income share held by highest 10%,SI.DST.10TH.10,30.8
2016,Income share held by highest 10%,SI.DST.10TH.10,32.6
2012,Income share held by highest 10%,SI.DST.10TH.10,31.9
2009,Income share held by highest 10%,SI.DST.10TH.10,29.6
2006,Income share held by highest 10%,SI.DST.10TH.10,32.3
2002,Income share held by highest 10%,SI.DST.10TH.10,32.7
1995,Income share held by highest 10%,SI.DST.10TH.10,29.0
